Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-06-13,2016,6,13,Monday,24,2016-24,45.48,45.67,45.09,45.12,10613500,36.88,-0.011393771478546033,36.54642857142857,36.727599999999995
2016-06-14,2016,6,14,Tuesday,24,2016-24,44.85,45.13,44.44,45.04,11298200,36.82,-0.00177258091007515,36.605714285714285,36.703199999999995
2016-06-15,2016,6,15,Wednesday,24,2016-24,45.12,45.34,44.88,45.01,8360400,36.79,-0.0006662349436601378,36.662142857142854,36.684
2016-06-16,2016,6,16,Thursday,24,2016-24,44.87,45.34,44.72,45.31,11305400,37.04,0.00666502848160988,36.71857142857142,36.667
2016-06-17,2016,6,17,Friday,24,2016-24,45.17,45.22,44.38,44.79,20805400,36.61,-0.011476549378454437,36.73857142857143,36.647
2016-06-20,2016,6,20,Monday,25,2016-25,45.09,45.31,44.96,44.98,10712400,36.77,0.004241964408884025,36.78071428571429,36.622
2016-06-21,2016,6,21,Tuesday,25,2016-25,45.16,45.28,45.0,45.13,7919400,36.89,0.00333510091779865,36.82571428571429,36.6064
2016-06-22,2016,6,22,Wednesday,25,2016-25,45.25,45.33,44.81,44.86,10738900,36.67,-0.005982916765506441,36.853571428571435,36.583
2016-06-23,2016,6,23,Thursday,25,2016-25,45.03,45.17,44.84,45.08,9655300,36.85,0.004904565596510313,36.87571428571429,36.573
2016-06-24,2016,6,24,Friday,25,2016-25,44.2,44.56,43.82,43.93,26003700,35.91,-0.025510614998909942,36.81214285714286,36.5476
2016-06-27,2016,6,27,Monday,26,2016-26,43.67,43.89,43.32,43.78,15779500,35.79,-0.0034144964079905193,36.74285714285714,36.5154
2016-06-28,2016,6,28,Tuesday,26,2016-26,44.06,44.19,43.67,44.18,16509800,36.11,0.009136733561788901,36.68285714285714,36.4878
2016-06-29,2016,6,29,Wednesday,26,2016-26,44.39,44.71,44.24,44.44,12250900,36.33,0.00588488434414991,36.62642857142857,36.4584
2016-06-30,2016,6,30,Thursday,26,2016-26,44.52,45.33,44.49,45.33,16056500,37.05,0.02002703441195841,36.60785714285714,36.4796
2016-07-01,2016,7,1,Friday,26,2016-26,45.33,45.41,45.07,45.12,11799700,36.88,-0.004632883538381871,36.60785714285714,36.5088
2016-07-05,2016,7,5,Tuesday,27,2016-27,45.16,45.67,45.15,45.43,12339100,37.14,0.006870638621453651,36.630714285714284,36.529
2016-07-06,2016,7,6,Wednesday,27,2016-27,45.5,45.55,44.92,45.27,10902600,37.0,-0.00352168957276644,36.645714285714284,36.5436
2016-07-07,2016,7,7,Thursday,27,2016-27,45.42,45.52,44.97,45.09,9741100,36.86,-0.003976276355123987,36.63285714285714,36.5584
2016-07-08,2016,7,8,Friday,27,2016-27,45.3,45.52,45.07,45.38,11127100,37.09,0.0064317171224350655,36.667142857142856,36.5754
2016-07-11,2016,7,11,Monday,28,2016-28,45.35,45.77,45.11,45.57,10937800,37.25,0.004186709644405262,36.70142857142857,36.5964
2016-07-12,2016,7,12,Tuesday,28,2016-28,45.64,45.71,45.18,45.58,9739000,37.26,0.00021946138053197117,36.72785714285715,36.6148
2016-07-13,2016,7,13,Wednesday,28,2016-28,45.61,45.76,45.43,45.74,8028400,37.39,0.0035104068728044613,36.77928571428571,36.632799999999996
2016-07-14,2016,7,14,Thursday,28,2016-28,45.73,45.94,45.58,45.69,7621200,37.35,-0.0010933304901571406,36.815,36.6524
2016-07-15,2016,7,15,Friday,28,2016-28,45.88,45.9,45.44,45.63,10621000,37.3,-0.001313003618088504,36.91428571428571,36.6686
2016-07-18,2016,7,18,Monday,29,2016-29,45.69,45.7,45.48,45.63,7958300,37.3,0.0,37.02214285714285,36.6836
2016-07-19,2016,7,19,Tuesday,29,2016-29,45.46,45.71,45.43,45.63,7761100,37.3,0.0,37.107142857142854,36.6944
2016-07-20,2016,7,20,Wednesday,29,2016-29,45.75,45.77,45.39,45.51,8478200,37.2,-0.0026299710953749944,37.169285714285714,36.7044
2016-07-21,2016,7,21,Thursday,29,2016-29,45.34,45.51,45.26,45.45,8045100,37.15,-0.0013182992258273796,37.17642857142857,36.705200000000005
2016-07-22,2016,7,22,Friday,29,2016-29,45.5,45.84,45.46,45.83,8836100,37.46,0.008360831587878259,37.21785714285714,36.7168
2016-07-25,2016,7,25,Monday,30,2016-30,45.81,45.83,45.47,45.57,9134300,37.25,-0.005673217229619998,37.22571428571428,36.718199999999996
2016-07-26,2016,7,26,Tuesday,30,2016-30,45.53,45.65,44.83,44.88,15819900,36.69,-0.015141708763380723,37.20357142857143,36.7162
2016-07-27,2016,7,27,Wednesday,30,2016-30,43.9,44.06,43.1,43.4,37461100,35.48,-0.03297663710777621,37.105000000000004,36.6856
2016-07-28,2016,7,28,Thursday,30,2016-30,43.27,43.69,43.22,43.65,13077800,35.68,0.005760323446946547,37.00428571428571,36.6732
2016-07-29,2016,7,29,Friday,30,2016-30,43.72,43.75,43.48,43.63,16530500,35.66,-0.00045812242506593215,36.89071428571429,36.6648
2016-08-01,2016,8,1,Monday,31,2016-31,43.69,43.83,43.43,43.45,12349700,35.52,-0.0041257403111097934,36.76642857142857,36.6562
2016-08-02,2016,8,2,Tuesday,31,2016-31,43.35,43.58,43.31,43.53,12825200,35.58,0.0018411395775410622,36.63714285714286,36.6548
2016-08-03,2016,8,3,Wednesday,31,2016-31,43.66,43.7,43.37,43.64,12119100,35.67,0.002526994922638748,36.51714285714286,36.654799999999994
2016-08-04,2016,8,4,Thursday,31,2016-31,43.56,43.8,43.4,43.51,11244100,35.57,-0.0029786389008272796,36.39357142857143,36.6464
2016-08-05,2016,8,5,Friday,31,2016-31,43.65,43.75,43.41,43.48,10398200,35.54,-0.0006894482772749067,36.267857142857146,36.6372
2016-08-08,2016,8,8,Monday,32,2016-32,43.43,43.52,43.22,43.44,8680300,35.51,-0.0009202563623427196,36.14,36.6224
2016-08-09,2016,8,9,Tuesday,32,2016-32,43.5,43.64,43.38,43.47,7281300,35.53,0.0006905594358641576,36.020714285714284,36.6064
2016-08-10,2016,8,10,Wednesday,32,2016-32,43.64,43.69,43.5,43.61,8412100,35.65,0.0032206731142394585,35.91357142857142,36.5958
2016-08-11,2016,8,11,Thursday,32,2016-32,43.72,43.87,43.62,43.75,11303300,35.76,0.003210333678872246,35.792142857142856,36.5858
2016-08-12,2016,8,12,Friday,32,2016-32,43.91,44.19,43.79,44.03,10928900,35.99,0.006400014165600876,35.70214285714286,36.58
2016-08-15,2016,8,15,Monday,33,2016-33,44.1,44.33,44.01,44.24,10390600,36.16,0.00476988331099415,35.66428571428572,36.572399999999995
2016-08-16,2016,8,16,Tuesday,33,2016-33,44.25,44.25,43.83,43.83,9706100,35.83,-0.009267681629144042,35.68928571428571,36.553000000000004
2016-08-17,2016,8,17,Wednesday,33,2016-33,44.01,44.07,43.78,44.06,11208500,36.02,0.005247355479985005,35.71357142857143,36.5382
2016-08-18,2016,8,18,Thursday,33,2016-33,44.01,44.26,44.0,44.1,9144300,36.05,0.0009075067586374885,35.74142857142857,36.5202
2016-08-19,2016,8,19,Friday,33,2016-33,44.05,44.06,43.74,43.92,9385900,35.9,-0.004081347581223804,35.76857142857143,36.4958
2016-08-22,2016,8,22,Monday,34,2016-34,43.94,43.95,43.73,43.74,8687500,35.75,-0.004098285754116415,35.78071428571429,36.4646
2016-08-23,2016,8,23,Tuesday,34,2016-34,43.85,43.98,43.74,43.85,8421100,35.84,0.0025148618079648966,35.79285714285714,36.4438
2016-08-24,2016,8,24,Wednesday,34,2016-34,43.82,43.94,43.66,43.85,11508900,35.84,0.0,35.81214285714286,36.4242
2016-08-25,2016,8,25,Thursday,34,2016-34,43.85,43.94,43.63,43.67,9815700,35.7,-0.0041050405943731105,35.823571428571434,36.4024
2016-08-26,2016,8,26,Friday,34,2016-34,43.72,43.92,43.31,43.32,11824900,35.41,-0.008014592504275386,35.81642857142857,36.3698
2016-08-29,2016,8,29,Monday,35,2016-35,43.34,43.61,43.33,43.54,9544600,35.59,0.005078488622308974,35.82071428571429,36.3494
2016-08-30,2016,8,30,Tuesday,35,2016-35,43.46,43.53,43.12,43.24,9720100,35.35,-0.006890268574169411,35.799285714285716,36.321
2016-08-31,2016,8,31,Wednesday,35,2016-35,43.43,43.46,43.08,43.43,10217900,35.5,0.004394023446016027,35.78071428571429,36.2932
2016-09-01,2016,9,1,Thursday,35,2016-35,43.21,43.41,43.2,43.35,8457800,35.44,-0.001841664953660782,35.74142857142858,36.2686
2016-09-02,2016,9,2,Friday,35,2016-35,43.52,43.83,43.47,43.66,9026000,35.69,0.007150735796761731,35.707857142857144,36.2454
2016-09-06,2016,9,6,Tuesday,36,2016-36,43.74,43.8,43.4,43.79,8600400,35.79,0.002977701549606193,35.705,36.242999999999995
2016-09-07,2016,9,7,Wednesday,36,2016-36,43.72,43.8,43.53,43.64,8656600,35.67,-0.003425732005768456,35.68,36.2406
2016-09-08,2016,9,8,Thursday,36,2016-36,43.67,43.73,43.45,43.63,10020400,35.66,-0.00022895332399908153,35.652142857142856,36.2316
2016-09-09,2016,9,9,Friday,36,2016-36,43.43,43.43,42.27,42.27,23624200,34.55,-0.03117088150636793,35.55571428571428,36.196000000000005
2016-09-12,2016,9,12,Monday,37,2016-37,42.36,43.23,42.34,43.19,15932300,35.3,0.021764600024951175,35.52357142857143,36.161
2016-09-13,2016,9,13,Tuesday,37,2016-37,42.77,42.77,42.21,42.28,12962700,34.84,-0.013072097403873717,35.45214285714286,36.1202
2016-09-14,2016,9,14,Wednesday,37,2016-37,42.27,42.41,41.99,42.11,9823900,34.7,-0.004020540304649267,35.370714285714286,36.0714
