Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-18,2016,2,18,Thursday,07,2016-07,193.2,193.27,191.72,192.09,102343000,170.14,-0.00409592131658254,167.57785714285714,168.7396875
2016-02-19,2016,2,19,Friday,07,2016-07,191.17,192.18,190.45,192.0,114793000,170.06,-0.0004684136471863054,167.46857142857144,168.77969696969694
2016-02-22,2016,2,22,Monday,08,2016-08,193.87,194.95,193.79,194.78,103640300,172.52,0.014479086830196941,167.54,168.88970588235293
2016-02-23,2016,2,23,Tuesday,08,2016-08,194.0,194.32,192.18,192.32,111455300,170.35,-0.012629493523665491,167.67714285714285,168.93142857142857
2016-02-24,2016,2,24,Wednesday,08,2016-08,190.63,193.53,189.32,193.2,150812200,171.12,0.004575700969405183,167.79714285714286,168.99222222222224
2016-02-25,2016,2,25,Thursday,08,2016-08,193.73,195.55,192.83,195.54,110728300,173.2,0.012111634980663144,168.04642857142858,169.10594594594596
2016-02-26,2016,2,26,Friday,08,2016-08,196.57,196.68,194.9,195.09,129833700,172.8,-0.0023013627570399597,168.49857142857144,169.20315789473685
2016-02-29,2016,2,29,Monday,09,2016-09,195.11,196.23,193.33,193.56,125918100,171.44,-0.007842346676387169,169.01357142857142,169.26051282051282
2016-03-01,2016,3,1,Tuesday,09,2016-09,195.01,198.21,194.45,198.11,141799700,175.47,0.023506877566421336,169.81571428571428,169.41575
2016-03-02,2016,3,2,Wednesday,09,2016-09,197.74,199.06,197.25,199.0,102415000,176.26,0.0044925803380044815,170.68428571428572,169.58268292682928
2016-03-03,2016,3,3,Thursday,09,2016-09,198.79,199.8,198.11,199.78,95172200,176.95,0.003919486224922553,171.75428571428571,169.75809523809525
2016-03-04,2016,3,4,Friday,09,2016-09,200.01,201.35,199.03,200.43,129293600,177.53,0.003253745217426607,172.62714285714284,169.93883720930233
2016-03-07,2016,3,7,Monday,10,2016-10,199.34,201.07,199.25,200.59,100219000,177.67,0.0007981418748324032,173.31071428571428,170.11454545454546
